评论ID,评论内容,评论评分,评论时间,评论版本
Sun榮,2007年11月份注册的。现在是娱乐的工具。,2,2024/02/17,
Yaron Chi,旧版本收不到消息，停止服务了,1,2024/02/17,
许康靖,有病一直注册不了,1,2024/02/17,
躺平开摆,南极剪除是这样的，这版本没那么多乱七八糟的功能，占用很少，无需实名，可绑国外手机号，但只能密码登陆，兼容性也一般。我用着还凑合,1,2024/02/16,8.2.11
Sanmu Yin,一坨,1,2024/02/15,8.2.11
Edwin,登录不了,1,2024/02/15,
YIP,無法登入 手機號無相應 真厲害！,1,2024/02/14,8.2.11
LEE S,四年都不更新也是绝了,1,2024/02/14,8.2.11
yupeng liu,垃圾,1,2024/02/14,
枫Dimension,太差劲儿,1,2024/02/14,8.2.11
caishan bai,QQ无法升级，导致QQ邮箱无法登陆,2,2024/02/14,
喵喵,软件太臃肿了,1,2024/02/14,
yi YI,还有更新的机会吗？,5,2024/02/13,
胡华康,今天晚上莫名其妙的把我QQ号给冻结，还说我用的QQ是被人恶意篡改的版本，我明明是QQ官网下的，哪怕最新版本也QQ应用内更新的，想查看一下解冻时间结果就连解冻时间都不给我显示靠。,1,2024/02/13,
wang Bob Zheng,不能注册,1,2024/02/12,
杨杨坤,说实话不怎么样，太臃肿了，你一个聊天软件要什么直播和看点功能啊，真的是够了,1,2024/02/10,8.2.11
江星颜,捏马滴不更新登陆不上去万年api29,1,2024/02/09,
rk rk,垃圾留给你自己用吧sb,1,2024/02/09,
muxia,登录失败,1,2024/02/09,
绍韵wow,无缘无故封老子号还要老子信息 还非的下国内版本的才能登上去 滚尼玛蛋吧,1,2024/02/07,
杨正儿,明明手机号那些都是对的，但是就是登录不到差评！！！😡😡😡,1,2024/02/07,8.2.11
Cheong Chin Fong,马来西亚新用户不能登陆,1,2024/02/07,
Clarice Ha,注册不上,1,2024/02/07,8.2.11
SAM SHEN,垃圾软件怪不得不敢在google play上更新非得要在软件内更新，一更新完里面全是时不时就跳出来的广告,1,2024/02/06,7.7.6
MSDF MSDFERH (NAMASD),这个版本的QQ很好用，基本没有广告,5,2024/02/06,8.2.11
MYun,不更新是吧？,1,2024/02/05,8.2.11
ᆞᆞ,申请的时候不用手机，现在却必须用手机登陆?流氓+垃圾软件!,1,2024/02/05,
Docencelin,长期未更新,1,2024/02/05,8.2.11
牛欢喜,垃圾,1,2024/02/05,
Kerk Chiong Khuun Kerk,这种垃圾，app！怕死人注册。规矩多多。,1,2024/02/04,
EngTai Oon,注册不到,1,2024/02/03,8.2.11
i.F,存在应用内更新，不给更新不让通过qq登录第三方软件，这种应用是怎么通过谷歌审核的,1,2024/02/03,8.2.11
Opecory Y,还不更新,1,2024/02/03,
lei liu,时不时自己弹出开会员页面,1,2024/02/02,8.2.9
Kamal Dauletkeldy,更新不了,5,2024/02/02,
qpp Y,4年没更新了说是,1,2024/02/02,8.2.11
方可兰,4022年了还不更新,1,2024/02/02,8.2.11
Pavel Cherkasov,腾讯，你🐴炸了 整一个低版本的在上面做什么？,1,2024/02/02,8.2.11
ZW Song,这么多年不更新了，根本用不了了基本上,2,2024/02/02,
Google 用户,2024年了，四年没更新了,1,2024/01/31,8.2.11
Alrcatraz Huo,need update！！！ 快更新！！,1,2024/01/31,8.2.11
Uchimaki Naruto (佐鸣),不让我注册，也不让我登录。,1,2024/01/31,
Der Ma,极其臃肿,1,2024/01/31,8.2.11
Viseddy Tommy (小伙子),强制更新,1,2024/01/30,
玉虚,登录不上，司马腾讯,1,2024/01/30,
楚幽石,彻底寄了，消息接收不到,1,2024/01/30,8.2.11
joker pai,啥时候能换头像和聊天背景啊。。,1,2024/01/28,8.2.11
穗穗、,Junk💩,1,2024/01/27,8.2.11
西门磊,越做越烂，专门添加没用的功能,1,2024/01/27,
熊炜炜,3年未更新，无法使用小程序功能,1,2024/01/27,8.2.11
[1],赶紧下架,1,2024/01/26,
JIAWEI WU,现在谷歌版已经不能扫码登陆了,1,2024/01/26,8.2.11
hao huang,强制更新，这已经严重违反了谷歌隐私政策,1,2024/01/25,
Michael Goh,无法注册,1,2024/01/25,
MTBAV,为了我的安全叫我用最新版的，刚下载的我去那给你下最新版的,1,2024/01/25,8.2.11
Tron Tan,狗腾讯不让你收割用户信息就不更新是吧？,1,2024/01/25,8.2.11
郑Cindy,不能更新了。什么都用不了。更新头像都更新不了.还需要什么验证之类的。越弄越差,1,2024/01/24,
Suqi Ng,我更新账号还是不可以确认,1,2024/01/24,8.2.11
Yu Wong,神tmd不给用还不下架，不是浪费别人时间吗？,1,2024/01/24,8.2.11
lema,一直让更新更新但明明没有新版本,1,2024/01/24,8.2.11
